pivot_w,rr,sl_points,max_trades_day,no_new_last_min,wait_open,dt_tol,db_tol,min_bars,max_bars,cooldown,trades,win_rate,profit_factor,total_return,monthly_return,max_dd,score
2,1.8,160.0,3,30,15,0.0012,0.0012,4,40,4,69,0.391304347826087,0.7731017509128046,-0.018757034843430054,-0.012762326707009608,-0.02651376157730112,1.2509714432493233
3,1.5,120.0,2,50,20,0.0006,0.0008,4,30,6,51,0.45098039215686275,1.138884326222078,0.008103293967445024,0.005489639616066189,-0.015970613456222527,1.9639199255243114
3,1.6,160.0,1,30,15,0.0012,0.001,5,20,6,42,0.47619047619047616,1.1548913755639436,0.006774410118977725,0.004590352647372065,-0.010637636950188045,1.9902340628237636
2,1.8,120.0,2,30,30,0.001,0.0012,2,30,4,69,0.463768115942029,1.1663673957544285,0.014101181450972167,0.009543817403444343,-0.02520932016215527,2.027145711886266
2,1.5,130.0,2,20,15,0.0012,0.0008,2,24,6,70,0.5,1.2514404625751792,0.01914104595148647,0.012944474400595984,-0.02499125800755253,2.1857689410222214
2,1.6,160.0,1,20,10,0.001,0.001,3,20,0,48,0.375,0.8071430769126493,-0.012548118227562077,-0.008529147844592688,-0.026681121451735512,1.282394703901819
3,1.8,150.0,2,30,30,0.001,0.0006,3,40,4,52,0.40384615384615385,0.800158569468221,-0.012591080504108731,-0.008558409637224984,-0.016697197190024604,1.3415873939643839
2,1.4,180.0,1,50,20,0.0006,0.0015,3,40,2,43,0.4418604651162791,1.1152314465778932,0.004656360384944103,0.0031562288598034893,-0.012705320300570033,1.9093650789418473
2,1.4,160.0,1,40,20,0.0008,0.0012,2,50,2,46,0.5,1.2779474982044474,0.012444587496746928,0.0084248415413537,-0.010805402946076237,2.2144875619610436
2,1.5,180.0,3,20,10,0.0006,0.0006,2,20,4,60,0.43333333333333335,0.9041765166373089,-0.005700060989027533,-0.0038701255409087088,-0.015188321612336741,1.564173840954673
2,1.5,180.0,1,50,20,0.001,0.001,4,30,6,42,0.38095238095238093,0.8033558591252483,-0.010485127524890836,-0.007124517466285285,-0.020117240377895862,1.312334206690215
3,1.8,150.0,3,40,30,0.0006,0.0012,3,30,6,52,0.3269230769230769,0.6115048873695349,-0.02554647643490604,-0.017401176559505682,-0.032349136055625394,0.8939531022445045
2,1.5,120.0,1,20,30,0.001,0.0006,3,40,2,45,0.4444444444444444,1.1659158662844025,0.008520271793053258,0.005771739711875945,-0.015243713052145003,1.9960854388087412
3,1.5,160.0,3,30,10,0.0015,0.0012,2,40,6,80,0.4625,1.0573785207125055,0.005005789266617322,0.0033928928253725843,-0.026162104971027444,1.8362382938455741
2,1.4,160.0,1,40,25,0.0012,0.0015,3,30,4,47,0.46808510638297873,1.063386010343954,0.0031862738222105946,0.0021602667922404617,-0.01390211288581511,1.826448472538964
2,1.6,150.0,2,40,20,0.0015,0.0012,4,60,2,68,0.4117647058823529,0.8155987971310977,-0.016279168377013264,-0.011071911333641382,-0.03315538562492515,1.2858905912779646
3,1.5,180.0,3,40,15,0.001,0.0012,3,50,6,59,0.423728813559322,0.9101266209001833,-0.006008361403321172,-0.004079652984481763,-0.019105752763233674,1.5454181908950186
3,1.5,120.0,1,40,25,0.001,0.0012,5,40,6,42,0.5,1.253739494037381,0.011726750404974062,0.007939782842764975,-0.011384789874364531,2.160818764552004
3,1.4,160.0,3,30,10,0.0012,0.0008,2,60,4,69,0.4782608695652174,1.0018344941082167,-6.81499284957976e-05,-4.6229240493467216e-05,-0.018115569285182653,1.7461884915272812
2,1.5,120.0,2,40,10,0.0015,0.0015,3,60,6,79,0.4050632911392405,0.8794737430479546,-0.013872554874882148,-0.009431415776554819,-0.039360716511233074,1.3850949892920947
3,1.6,120.0,1,40,20,0.0015,0.0006,2,20,2,43,0.4883720930232558,1.1360000160937003,0.007220957621998814,0.004892584419960322,-0.01673647394598854,1.9302218558243016
3,1.4,160.0,2,20,20,0.0012,0.0006,3,30,2,59,0.5084745762711864,1.1877818318726,0.010415417824278794,0.007053399933672599,-0.010719389358447518,2.1012836111275957
3,1.6,130.0,3,30,20,0.0006,0.001,4,40,4,59,0.423728813559322,1.0103646492960132,0.0005049473552849459,0.00034249752104176245,-0.016384935774934606,1.747477339462746
2,1.5,120.0,3,50,30,0.0006,0.0006,2,30,2,58,0.46551724137931033,1.069539183920538,0.004611973650742396,0.003126164365149897,-0.019374241747518117,1.8380726403168972
3,1.8,130.0,1,20,10,0.0012,0.0006,2,40,2,44,0.4090909090909091,0.8684339590944438,-0.008412429381506659,-0.005714225878951762,-0.022624690105610856,1.4111889909763864
