round,ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_monthly,is_mdd,is_pf,oos_monthly,oos_mdd,oos_pf,oos_win_rate,oos_trades,score
1,45,255,23,3.0068593157426555,1.5101238246618358,9,0.8424288416365071,0.07941738394090107,-0.0005011056204999864,-0.03141014293223798,0.9949848898462833,0.0401530222232922,-0.011410918772998713,1.5108775644397672,0.36363636363636365,22,1.8868731264534393
1,81,167,25,1.8871140708740373,1.7361361314974582,8,1.2524414779331317,0.18373944312089,-0.013160958055351557,-0.013601198407290016,0.0,0.037451360356276275,-0.005514456955843516,2.3551688184440693,0.5833333333333334,12,2.706247286978202
1,53,181,14,3.0063194226008236,1.6844396141351934,14,0.9319962134786394,0.1701906465140886,-0.01551918768932814,-0.01603766892867886,0.0,0.03684063382900371,-0.007962604463496503,1.9684148249415372,0.4166666666666667,12,2.2693089844632834
1,91,210,20,2.6606705999101488,1.28957574136643,11,0.870172351653229,0.16749537046323848,-0.014558455328065767,-0.01586522660314338,0.46171786134760456,0.035757862813100116,-0.010821742029203718,1.6400737620983765,0.4117647058823529,17,1.9863563936482431
1,78,138,14,2.0074458299401874,1.828434555328677,8,1.659987140252479,0.1403731435938497,-0.02148133334506308,-0.024337298465240575,0.17919992442534174,0.034932087467359985,-0.006051514698572569,1.7924918796865534,0.5,16,2.20147212743365
1,68,239,13,2.1098765116002536,2.0367052784708224,14,0.8366251576774129,0.14144452320262554,-0.02842244343222633,-0.029365534179154773,0.0,0.03477995543852552,-0.005418644880213153,1.9131096137010535,0.5,14,2.2968676860180057
1,85,244,10,3.1458766819093733,1.4984475683771,12,0.8931398520210926,0.15777141741508427,-0.01879265151877496,-0.01941941321465046,0.28463447333362907,0.034114769156503355,-0.008143155362159926,1.7753054010213996,0.38461538461538464,13,2.0834891770806014
1,54,276,18,2.0850676933182233,2.0207015007319384,11,1.191154903876105,0.13564864567077342,-0.019059147593399217,-0.02689272954565536,0.338256602584951,0.0331875550867784,-0.0084038431925757,1.6772938643408462,0.47058823529411764,17,2.0627540428239493
1,44,217,20,2.914224079507578,1.4749845210945058,37,1.4466771710316626,0.06300202616247194,-0.020444413173183795,-0.03497179466138156,0.5029983242383391,0.026633321798575915,-0.008001166657860326,1.6062101881565363,0.38461538461538464,13,1.9122256570420697
1,67,275,14,2.5968266540750795,1.4473369012726143,14,1.7051612948148596,0.17079410684303972,-0.014773850111600706,-0.016141748562037095,0.29292366647389984,0.02565839804728265,-0.008020168246136938,1.672368867382963,0.4166666666666667,12,1.9759854016814145
1,96,161,27,2.1968163512005097,1.6888643196428073,12,1.9635562897862686,0.15842395712578422,-0.021287194343433846,-0.021996216114494205,0.0,0.025217692203202358,-0.011106615491561445,1.4165033001451655,0.42105263157894735,19,1.7641898584972313
1,85,234,13,2.852296577823198,1.5460672943284588,33,1.063661827885055,0.05114816114003318,-0.04742638200371807,-0.05042417882275574,0.2961178727310658,0.02423487886906206,-0.007987627785513207,1.5435890541813948,0.38461538461538464,13,1.8502719239378584
1,86,139,10,2.8056579213947885,1.4554528443014065,9,1.6962495555413843,0.0987519782287851,-0.02814909173628377,-0.02908324878257218,0.48470950976177535,0.02273635997675716,-0.011375498133832318,1.312164478672072,0.35,20,1.626325068149787
1,77,271,14,1.5349632823261221,1.4011147383240967,38,1.7064055182122253,0.061217632631731814,-0.04111248199204354,-0.043068986505613305,0.2509476279606751,0.022652006525027968,-0.005442862152025496,1.837996023641844,0.5833333333333334,12,2.21922823001836
1,45,168,17,2.5963863686445725,1.5764138401852155,10,0.8725025393739806,0.05718533534094036,-0.020094433949301105,-0.045211125515769335,0.7064945306274394,0.02232689555097811,-0.014630044251030094,1.285624683742719,0.36363636363636365,22,1.5853489337539164
1,56,157,27,1.7481819111885288,1.95927098628336,9,2.029104908264168,0.12411898419118723,-0.019855866793276222,-0.02868444624896993,0.3791315617702995,0.019042939514827495,-0.009294207068300642,1.3906970371525944,0.47058823529411764,17,1.7538498644563438
1,65,221,11,3.1422414686384306,1.3432502105359458,14,2.1913081595715616,0.18399195239644806,-0.0183621821968184,-0.018974726392086194,0.0,0.018260263877440286,-0.010778299982426964,1.4212013467131883,0.3333333333333333,12,1.6604793969334826
1,43,133,25,2.8660075906654447,1.5363300495770256,14,1.874373428012365,0.12851705902648156,-0.028231144596414626,-0.03591166272954838,0.1915307460306494,0.01822558328838797,-0.011239758652524023,1.2788595639133127,0.3333333333333333,18,1.5618179810473498
1,69,222,27,3.13374027770804,1.732078160785085,16,1.8400133532462328,0.14910035025893786,-0.03165370968046055,-0.03270220201614993,0.0,0.017943752196313945,-0.008333504072966402,1.412706882514461,0.3333333333333333,12,1.6765492262634747
1,51,159,26,3.170995010403736,1.3584329592773612,12,1.3502256150220455,0.06101034495557589,-0.020915964277417043,-0.04281931969243413,0.6824895473511615,0.017877280479919433,-0.020118072145175248,1.2017522791393078,0.30434782608695654,23,1.4088828665781317
