ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_trades,is_monthly,is_mdd,is_pf,oos_trades,oos_monthly,oos_mdd,oos_pf,oos_win_rate,score
72,142,14,2.65,1.66,26,1.15,0.185,6,-0.015549780885484199,-0.016069275849430298,0.0,7,-0.0006610470178710637,-0.007967769575905947,0.979747521521058,0.2857142857142857,1.2093164344428766
20,170,22,2.41,0.92,39,0.87,0.131,10,-0.019457675692142518,-0.02311672873116566,0.22430153128600164,7,-0.00521532160382876,-0.011163091275621317,0.818760403098047,0.2857142857142857,1.036747067762914
58,273,11,2.15,1.76,19,1.94,0.34,0,0.0,0.0,,1,-0.005270473950332311,-0.002638718392543704,0.0,0.0,0.20114169039165444
76,264,25,2.16,1.19,28,1.7,0.292,0,0.0,0.0,,2,-0.010951028945313968,-0.005490587749574893,0.0,0.0,0.15893784888881163
57,157,27,2.38,1.15,34,0.93,0.268,0,0.0,0.0,,3,-0.016490678774448875,-0.00827961540283384,0.0,0.0,0.11780036167953378
57,198,19,2.92,1.93,11,1.44,0.303,1,-0.0025549469311669792,-0.0026408852379273817,0.0,3,0.003832907414097031,-0.005283776980678057,1.367783451322353,0.3333333333333333,1.5839548415355127
36,203,14,3.16,1.29,20,1.09,0.224,2,-0.005281153511052961,-0.005458539362827919,0.0,4,-0.021722615996705552,-0.010920941479754864,0.0,0.0,0.0790753375084722
94,238,24,1.46,0.78,38,1.36,0.259,1,0.0032865140976499063,0.0,,2,0.0010351967355870517,-0.0028859490303522195,1.182718053399134,0.5,1.5738943040855042
23,223,13,1.89,1.86,10,1.52,0.342,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
80,241,28,1.28,0.84,35,1.29,0.06,25,-0.015234423202416192,-0.02672494325530783,0.6438924492579996,16,-0.03489630358169116,-0.022730849855945312,0.43842532317550215,0.3125,0.5726415786994079
89,120,14,2.12,0.89,21,1.26,0.146,12,-0.0025186779671433346,-0.014863980754205808,0.8897356105537049,16,-0.02655828149852335,-0.019930727904229117,0.6015253526426019,0.25,0.7088746662194886
