ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win
38,118,26,28,1.09,1.87,29,0.89,-0.005794556575599574,-0.018100099315617957,0.7974911262015209,41,-0.004442225030660496,-0.018688804581873608,0.8126662580600661,15,0.3333333333333333
10,172,48,19,1.15,2.07,21,1.13,-0.008190577997829074,-0.03202041488566554,0.7254272391763577,40,-0.0007505976943009696,-0.013717894038592027,0.9747785450825898,17,0.35294117647058826
36,128,33,22,1.87,1.4,37,0.96,-0.0011411901701622318,-0.015215712959019245,0.9396997830242394,32,0.01097974358811915,-0.005322118210886129,2.194022641215112,11,0.6363636363636364
26,71,43,8,0.94,2.63,22,1.34,-0.006539498676683908,-0.03687523120211633,0.780708363797172,38,-0.007472106384709076,-0.018928723400648106,0.685304643922872,13,0.23076923076923078
31,64,33,30,1.7,2.93,33,0.84,0.0005839358603585421,-0.027291109859448603,1.0304314783812951,32,-0.00670374697987397,-0.023389372351306115,0.7365967178680424,14,0.21428571428571427
16,42,30,21,2.07,1.27,25,1.25,-0.003967720639376782,-0.016442680533537812,0.8490389105620102,46,-0.006749989578905713,-0.015679926203227224,0.7312236470992147,18,0.3888888888888889
44,178,22,30,1.44,1.25,24,1.01,0.0007087062023818369,-0.013840183581703913,1.0392673976226632,38,-0.0061366523224882785,-0.013266475023772983,0.7432175823011723,17,0.4117647058823529
35,180,32,24,1.38,2.34,17,1.59,-0.006209416847508975,-0.032518346803659504,0.7001921371741362,27,-0.0016201174258739792,-0.008048481306713096,0.9038137880207885,10,0.3
27,157,43,22,2.05,2.54,26,1.18,-0.005286300205162298,-0.024827600567433605,0.7225734235409761,25,0.012322480163929006,-0.0052936144776712935,2.354286602013991,8,0.5
46,71,33,9,1.22,2.4,13,1.41,-0.006945588738892838,-0.032169282234042806,0.7523484231784894,37,0.00824837993863392,-0.007981001552091582,1.5050378610374842,12,0.4166666666666667
42,82,13,13,1.22,1.59,18,0.89,-0.003849610536173498,-0.046130567656549326,0.9069068927250479,65,-0.013087356753991641,-0.02961884074262755,0.6296815359378966,22,0.3181818181818182
39,153,31,30,2.23,1.32,38,1.21,6.852094346165849e-05,-0.012870238888171182,1.0078803885450298,26,-0.0003252198898962,-0.007819659198948448,0.9740040521198093,9,0.4444444444444444
45,70,9,27,2.45,3.28,13,1.78,-0.00761198057545065,-0.03131930468804067,0.7031080365648769,32,-0.010876083540083292,-0.02066890184764303,0.5622687828219837,13,0.15384615384615385
39,120,9,22,1.71,2.34,12,0.99,-0.008183529972731085,-0.032285599357279704,0.7951112646378903,54,-0.015470216723455055,-0.02392461553990044,0.5582730981757511,19,0.21052631578947367
13,58,27,8,2.05,2.47,8,1.41,-0.00378506711399873,-0.028778543397174228,0.8566549794739338,36,-0.011147570310414912,-0.014858324001776113,0.6510574460845973,18,0.2222222222222222
47,103,18,11,1.35,2.63,13,1.14,-0.008506069942670336,-0.034526503754870874,0.767706001618197,47,0.006600378619446845,-0.01821425905418217,1.2588141200118925,17,0.35294117647058826
19,44,30,17,2.48,1.97,9,0.89,-0.00345637648920738,-0.027282095571965814,0.8617075267719253,37,-0.017609921328514466,-0.020393752967366896,0.5392090109994213,22,0.22727272727272727
46,138,24,16,1.81,2.33,37,0.91,-0.004661041464413707,-0.024211533165740207,0.8029865394132516,32,0.0034528477125455037,-0.01017373268416466,1.2200192045893006,11,0.36363636363636365
14,101,21,28,2.04,3.45,19,1.18,-0.004031189882928055,-0.02390051753448985,0.8267501201971578,29,-0.015248820543508623,-0.02072982745964036,0.32350421399071516,11,0.09090909090909091
10,79,29,15,2.21,3.0,37,1.63,0.00337543426190523,-0.021597561256196274,1.167519504988297,30,-0.0037459611258883196,-0.02079821701140705,0.8388358424984195,13,0.23076923076923078
46,70,26,21,1.69,2.06,32,1.48,-0.0027455701143531686,-0.027703894417040353,0.8907892809653944,36,0.005617907071831407,-0.010581746478547482,1.4916852935516849,9,0.4444444444444444
17,78,47,21,2.33,2.7,40,1.55,-0.002775034894180739,-0.02090130563242798,0.8626598749875328,27,-0.010119703598889696,-0.013006264676694523,0.3606946995807614,8,0.125
24,196,24,8,1.47,2.48,13,1.74,-0.013095408507670214,-0.039953600126190536,0.5018487230525912,32,0.0041606955588082695,-0.007995170165876142,1.3698996545942392,8,0.375
16,81,22,22,1.85,2.48,34,1.59,0.00010206751654351365,-0.02282638794017655,1.0085958970403526,35,0.0024796256136139228,-0.010583151058183082,1.1402349149562383,12,0.3333333333333333
47,163,44,30,1.04,1.69,9,1.56,-0.0015518243039928103,-0.018708214378245325,0.9254617910786067,32,0.002272885719542206,-0.008484348072571368,1.1093209110737672,16,0.4375
19,136,45,20,0.99,3.23,31,1.4,-0.011398533701129976,-0.04359197980841745,0.6365917924822126,36,0.0007251496316227346,-0.008524649933890127,1.0430123310046306,11,0.2727272727272727
24,200,15,12,1.63,2.18,9,0.81,-0.0080741766041591,-0.044355240960677556,0.7830285454999392,51,0.0036645595540256704,-0.01623155870329962,1.135698603476317,19,0.3684210526315789
45,100,33,18,1.82,3.18,17,1.14,-0.0002212574963585956,-0.02424340217495169,0.994163372315714,27,0.008593218982107187,-0.010545293815629186,1.754031354184758,8,0.375
15,62,33,21,1.85,3.39,25,1.41,0.0042993343009603,-0.021441176330430745,1.1926107607443313,32,-0.0063495475218394715,-0.01840213125962098,0.695528730047409,11,0.18181818181818182
49,128,19,19,1.76,2.87,15,1.45,-0.004351503752045405,-0.033432351886141354,0.8447698771461862,36,0.01631251253151267,-0.008009091182124783,2.1781054126598542,11,0.45454545454545453
37,87,16,29,0.93,1.45,29,1.71,-0.006127375739877539,-0.02524200689026257,0.8046914975492258,50,0.00135862131223341,-0.016318336627759056,1.0665621491244193,17,0.47058823529411764
